salary,sales,roe,industry
1095,27595,14.1000003814697,1
1001,9958,10.8999996185303,1
1122,6125.89990234375,23.5,1
578,16246,5.90000009536743,1
1368,21783.19921875,13.8000001907349,1
1145,6021.39990234375,20,1
1078,2266.69995117188,16.3999996185303,1
1094,2966.80004882813,16.2999992370605,1
1237,4570.2001953125,10.5,1
833,2830,26.2999992370605,1
567,596.799987792969,25.8999996185303,1
933,19773,26.7999992370605,1
1339,40047,14.8000001907349,1
937,2513.80004882813,22.2999992370605,1
2011,1580.59997558594,56.2999992370605,1
1585,6754,12.6000003814697,1
905,1066.30004882813,20.3999996185303,1
1058,3199.89990234375,1.89999997615814,1
922,1452.69995117188,19.8999996185303,1
1220,8995,15.3999996185303,1
1022,1212.30004882813,38.7000007629395,1
759,2824.19995117188,16.3999996185303,1
1414,7621,24.3999996185303,1
1041,4418.2998046875,15.6000003814697,1
1688,12343,14.3999996185303,1
2983,57662,19,1
1160,4319.7001953125,16.1000003814697,1
3844,20604,12.1000003814697,1
476,611.299987792969,16.2000007629395,1
1492,12431.7001953125,18.3999996185303,1
1024,8169,14.1999998092651,1
1593,20659,14.8999996185303,1
427,3072.10009765625,12.3999996185303,1
829,1669.09997558594,17.1000003814697,1
797,2401.19995117188,16.8999996185303,1
577,3043.60009765625,18.1000003814697,1
1342,6222.2001953125,10.8999996185303,1
1774,7727.89990234375,19.2999992370605,1
709,719.5,18.2999992370605,1
860,3921.30004882813,18.3999996185303,1
1336,5155.10009765625,13.8000001907349,1
516,649.200012207031,13.6999998092651,1
931,10885,12.6999998092651,1
815,1651.90002441406,15.1000003814697,1
1681,12915,16.5,1
568,11436,10.1999998092651,1
775,2210.30004882813,19.6000003814697,1
1188,3737.80004882813,12.8000001907349,1
782,1976.69995117188,15.8999996185303,1
1170,2576,17.2999992370605,1
1469,6309.10009765625,8.5,1
916,2940.5,16.3999996185303,1
1070,1072.59997558594,19.5,1
894,1534,19.2000007629395,1
829,2158.80004882813,15.8999996185303,1
780,1736,19.8999996185303,1
2327,3598.80004882813,28.1000003814697,1
717,1413.59997558594,25,1
1368,13538,15,1
2028,69018,12.6000003814697,1
1195,6285,20.2999992370605,1
256,526.299987792969,22.7000007629395,1
775,3195.60009765625,14.8000001907349,1
1407,2762.80004882813,13.1999998092651,1
543,1873.09997558594,10.3000001907349,1
874,4648.10009765625,17.7000007629395,1
1287,16951,10,1
1248,3506.89990234375,15.6000003814697,2
875,5333.10009765625,6.80000019073486,2
925,3296.19995117188,12.3999996185303,2
798,2584,13.1000003814697,2
760,834.400024414063,15.8000001907349,2
600,4068.69995117188,12.8000001907349,2
991,2518.60009765625,15.3000001907349,2
1570,10465,.5,2
911,2682.39990234375,16.5,2
1360,2688.19995117188,15.1000003814697,2
700,6682.2998046875,13,2
741,4879.89990234375,11.1000003814697,2
1097,2772.10009765625,8.89999961853027,2
953,1320.40002441406,17.5,2
441,3408.5,15.8999996185303,2
595,1919.69995117188,14.1999998092651,2
1067,19020.5,9.30000019073486,2
1298,4778.2998046875,9.5,2
1798,24332,15.5,2
4143,2678.39990234375,14.3999996185303,2
1336,4481,11.1000003814697,2
1750,14932.099609375,15.8999996185303,2
912,2626.39990234375,16.3999996185303,2
1892,2659.5,8.60000038146973,2
833,1073.19995117188,24.6000003814697,2
1142,2577.30004882813,15.3999996185303,2
1159,4293.7998046875,16.8999996185303,2
1283,18164,7.19999980926514,2
2109,9944.400390625,11.6000003814697,2
1039,12719,26.3999996185303,2
992,1931.59997558594,21.3999996185303,2
1253,2993.19995117188,19.2000007629395,2
721,2127.19995117188,15.1000003814697,2
1351,4211.89990234375,9,2
1391,8489.599609375,9.39999961853027,2
1245,12222.7998046875,19,2
1550,11213.400390625,3.5,2
2150,5869.60009765625,22.1000003814697,2
1846,6193.7998046875,10.8999996185303,2
573,3053.19995117188,15.1000003814697,2
6640,8946,10.1999998092651,2
959,4045.19995117188,17.2999992370605,2
612,3618.89990234375,33.2999992370605,2
1820,1796.09997558594,22.7999992370605,2
1411,6703.10009765625,11.1000003814697,2
1026,2170.30004882813,12.3999996185303,2
1287,4674,20.8999996185303,1
800,3372,6.69999980926514,1
1115,8205,7.09999990463257,1
1631,4617,11.8000001907349,1
1910,6964,14,1
996,6623,10.1000003814697,3
918,29797,6.40000009536743,3
1261,5225.5,12.3999996185303,3
1053,3639,17.6000003814697,3
1221,97649.8984375,15.1000003814697,3
1738,10743.599609375,23.6000003814697,3
3142,10236.2998046875,35.7000007629395,3
1900,17802.69921875,23.2000007629395,3
427,6158.7001953125,12.3999996185303,3
1700,6775.2001953125,44.4000015258789,3
360,298.700012207031,2.09999990463257,3
459,785.299987792969,18.3999996185303,3
1340,1368.59997558594,16.1000003814697,3
729,2066.10009765625,15.1000003814697,3
223,181.5,22.7000007629395,3
2101,10300,23.3999996185303,3
1082,11232,25.7000007629395,3
1781,5191.60009765625,27,3
791,976.700012207031,19.8999996185303,3
2092,7671.5,43.7000007629395,3
1573,6406,16.3999996185303,3
1045,2917.39990234375,11.6000003814697,3
1694,3322.89990234375,24.7999992370605,3
453,175.199996948242,26.2000007629395,3
1130,1686.30004882813,44.5,3
1334,514.099975585938,22.2999992370605,3
1344,3032.69995117188,22.2999992370605,3
1585,4686.89990234375,35.0999984741211,3
1946,8388.099609375,13.1000003814697,3
1619,7632.7998046875,11,3
1620,17453.80078125,19.3999996185303,3
967,5781.10009765625,28.5,3
1431,6896.2001953125,43.9000015258789,3
1231,6503.10009765625,26.7999992370605,3
770,2715.60009765625,15.6999998092651,3
1594,2761.89990234375,15,3
1568,5181.39990234375,28.2000007629395,3
995,1323,15.3999996185303,3
1077,5296,20,3
1161,7177,42.2000007629395,3
1401,12183.5,19.6000003814697,3
1127,7863.5,16.2000007629395,3
3068,3825.60009765625,21.5,3
730,1110.59997558594,29.5,3
729,1391.30004882813,22.6000003814697,3
11233,6047.89990234375,22.8999996185303,3
949,18908,13,3
3646,3921.5,7.80000019073486,3
1502,3453.80004882813,48.0999984741211,3
807,1558.5,18,3
713,962.799987792969,18,3
1489,25848,21.7000007629395,3
736,631.5,21.2999992370605,3
1226,1728.90002441406,26.8999996185303,3
543,2669.30004882813,30.5,3
14822,2159.19995117188,19.3999996185303,3
890,2612.60009765625,15.6000003814697,3
1627,8270.2998046875,19.3999996185303,3
2408,44323,29.1000003814697,3
2248,764.700012207031,40.7999992370605,3
787,5167.5,13.6999998092651,4
474,2159.30004882813,11.1000003814697,4
439,2617.10009765625,10.8000001907349,4
465,2367.69995117188,5.09999990463257,4
594,2744,12.3000001907349,4
688,2357.89990234375,7.40000009536743,4
607,5262,6.19999980926514,4
634,5738.89990234375,12.6999998092651,4
532,2714.89990234375,10.6000003814697,4
441,3306.69995117188,7.40000009536743,4
694,3532.5,12.6000003814697,4
520,3681.5,12.8000001907349,4
757,3982.10009765625,2.90000009536743,4
668,2996,13.5,4
803,4178.60009765625,10.6999998092651,4
500,2616.30004882813,11.8999996185303,4
552,2064.5,12.8999996185303,4
412,2225.5,10.1000003814697,4
1100,9470.099609375,7.30000019073486,4
959,3783.19995117188,14.6000003814697,4
333,2388.69995117188,13.8000001907349,4
503,3705.19995117188,8.89999961853027,4
448,1411.69995117188,14,4
732,4800.10009765625,12.8999996185303,4
720,1771.90002441406,14.5,4
808,7198.5,14.6999998092651,4
930,1509.09997558594,9,4
525,1097.09997558594,15.5,4
658,4542.60009765625,12.1000003814697,4
555,2023,13.6999998092651,4
626,1442.5,14.3999996185303,4
