continent,brand,size,period,price
2,2,10.7,47.65,144
2,3,14,63.13,215
2,2,9,58.76,105
1,1,8,34.88,69
2,2,10,55.53,134
2,2,10.5,43.14,129
2,2,16,54.86,155
2,1,15,44.14,99
2,1,6.5,17.46,38.5
2,1,5,21.04,36.5
2,2,25,109.38,260
1,1,10.4,17.67,54
1,1,7.4,16.41,39
1,1,5.4,12.02,29.5
2,2,15.4,49.48,109
2,1,12.4,48.74,89.5
1,1,6,23.21,42
1,1,9,28.64,65
1,3,9,44.95,115
1,1,12.4,23.77,49.5
1,1,7.5,20.21,36.5
1,3,14,32.62,109
1,1,7,17.84,45
1,2,9,22.82,58
1,2,12,29.48,89
1,1,5.5,15.61,30
1,2,6,13.25,31
1,3,12,45.78,119
2,1,5.5,26.53,22
1,3,14.2,37.11,109
2,2,11,45.12,99
1,2,16,26.09,99
2,3,13.5,68.63,179
2,2,11.1,33.71,99
2,3,9.8,44.45,89
1,2,10,23.74,75
2,3,13,86.42,199
1,3,13,39.71,93
1,2,11.7,26.52,65
2,2,12.3,33.89,74
2,3,19.5,64.3,165
1,3,15.2,22.55,99
1,1,10,31.86,43.5
1,3,11,53.18,94
2,3,17.8,74.48,189
2,2,11.5,34.16,75
2,1,12.7,31.46,59.5
1,1,8,21.34,42
2,1,7.5,20.83,23
1,2,9,20.59,52.5
2,2,14,33.7,99
2,2,12.4,32.9,89
2,2,8.8,27.76,65
1,1,8.5,30.2,54.5
1,1,6,20.85,24.5
1,2,11,26.25,52
1,2,11.1,21.87,62.5
1,3,14.5,23.88,89
1,1,5,16.66,21.5
2,1,21,43, 
2,2,5,12, 
2,3,13,20, 
2,3,31,19, 
